"","자치구","행정동","전체세대수","1인세대"
"413","종로구","청운효자동",5416.91666666667,1940.41666666667
"414","용산구","청파동",10594.5833333333,5931.16666666667
"415","서대문구","충현동",8807.5,4342.5
"416","종로구","평창동",7576,2464
"417","송파구","풍납1동",6867.16666666667,2553.91666666667
"418","송파구","풍납2동",10403.0833333333,3730.08333333333
"419","중구","필동",2266.33333333333,1392.08333333333
"420","노원구","하계1동",12333.3333333333,4599.58333333333
"421","노원구","하계2동",8349.58333333333,1553.33333333333
"422","용산구","한강로동",9368.16666666667,5232.16666666667
"423","용산구","한남동",10946.5833333333,5946.41666666667
"424","합계","합계",4249143.66666667,1652738.08333333
"425","마포구","합정동",9592.91666666667,4843.16666666667
"426","성동구","행당1동",6801.08333333333,2847
"427","성동구","행당2동",9481.25,2312.33333333333
"428","관악구","행운동",16667.0833333333,9948.91666666667
"429","종로구","혜화동",9134.25,5321
"430","서대문구","홍은1동",9771.75,3243.41666666667
"431","서대문구","홍은2동",12473.75,4675.83333333333
"432","서대문구","홍제1동",9565,3193.83333333333
"433","서대문구","홍제2동",5840.66666666667,1640.58333333333
"434","서대문구","홍제3동",7126.33333333333,2591.16666666667
"435","강서구","화곡1동",25569.5833333333,11268.4166666667
"436","강서구","화곡2동",8249.33333333333,2706.83333333333
"437","강서구","화곡3동",9167.33333333333,2974.16666666667
"438","강서구","화곡4동",9792.5,3514.91666666667
"439","강서구","화곡6동",10924.1666666667,4376.58333333333
"440","강서구","화곡8동",11548,4124.75
"441","강서구","화곡본동",16070.5833333333,6367.25
"442","광진구","화양동",15258.75,11691.25
"443","중구","황학동",6417.25,3365.83333333333
"444","동대문구","회기동",5891.08333333333,3691.66666666667
"445","중구","회현동",3270.25,2235.41666666667
"446","용산구","효창동",3757.08333333333,1329
"447","용산구","후암동",8531.75,3927.5
"448","동대문구","휘경1동",6854.75,3815.33333333333
"449","동대문구","휘경2동",11148.4166666667,4932.91666666667
"450","동작구","흑석동",13055.9166666667,5184.41666666667
"NA",NA,NA,NA,NA
