"자치구","행정동","전체세대수","X1인세대","1인세대_2"
"노원구","월계1동",10450.66667,4265.833333,367.866155305424
"노원구","월계2동",11255.08333,3665.25,-232.717177694576
"노원구","월계3동",13005.91667,3510.916667,-387.050510694576
"성북구","월곡1동",10748.5,3088.333333,-809.633844694576
"성북구","월곡2동",8860.25,3639.25,-258.717177694576
"송파구","위례동",9096.333333,1078.333333,-2819.63384469458
"관악구","은천동",15455.08333,6036.333333,2138.36615530542
"중구","을지로동",1211.083333,953.75,-2944.21717769458
"성동구","응봉동",6230.833333,1645.75,-2252.21717769458
"은평구","응암1동",11242.41667,4473.5,575.532822305424
"은평구","응암2동",8344.5,2438.75,-1459.21717769458
"은평구","응암3동",12436.5,5535.916667,1637.94948930542
"동대문구","이문1동",13815.25,7725.583333,3827.61615530542
"동대문구","이문2동",8687,2773.75,-1124.21717769458
"용산구","이촌1동",10158.83333,2209.416667,-1688.55051069458
"용산구","이촌2동",3858.666667,1269.833333,-2628.13384469458
"용산구","이태원1동",3866.833333,2232.333333,-1665.63384469458
"용산구","이태원2동",4933.833333,2605.916667,-1292.05051069458
"종로구","이화동",4494.833333,2641,-1256.96717769458
"강북구","인수동",14351.16667,5313.083333,1415.11615530542
"관악구","인헌동",13866.25,7269,3371.03282230542
"강남구","일원1동",7583.083333,3012.25,-885.717177694576
"강남구","일원2동",6558.333333,1990.916667,-1907.05051069458
"강남구","일원본동",8306.416667,1528.166667,-2369.80051069458
"광진구","자양1동",11356.16667,5368.25,1470.28282230542
"광진구","자양2동",11261.25,3827.666667,-70.3005106945757
"광진구","자양3동",11053,2735,-1162.96717769458
"광진구","자양4동",10222,5232.666667,1334.69948930542
"송파구","잠실2동",12055.41667,1901.75,-1996.21717769458
"송파구","잠실3동",12394.33333,2050.166667,-1847.80051069458
"송파구","잠실4동",10414.33333,1780.333333,-2117.63384469458
"송파구","잠실6동",5905.416667,946.5,-2951.46717769458
"송파구","잠실7동",3491.833333,493.3333333,-3404.63384439458
"송파구","잠실본동",14516.33333,7269.75,3371.78282230542
"서초구","잠원동",13936.91667,4617.25,719.282822305424
"동대문구","장안1동",17126.75,6877.583333,2979.61615530542
"동대문구","장안2동",12640.41667,4186.166667,288.199489305425
"성북구","장위1동",8978.333333,3224.833333,-673.133844694576
"성북구","장위2동",7173.666667,2730.666667,-1167.30051069458
"성북구","장위3동",4871.166667,1711.666667,-2186.30051069458
"송파구","장지동",13384.5,3589.916667,-308.050510694576
"중구","장충동",2652.666667,1607,-2290.96717769458
"동대문구","전농1동",14304.33333,6740,2842.03282230542
"동대문구","전농2동",7670.25,2059.75,-1838.21717769458
"성북구","정릉1동",7036.75,2029.333333,-1868.63384469458
"성북구","정릉2동",9634.5,2915.25,-982.717177694576
"성북구","정릉3동",7584,3722.25,-175.717177694576
"성북구","정릉4동",11036.25,3553.583333,-344.383844694576
"동대문구","제기동",12749.58333,6588.25,2690.28282230542
